event_family_final,report_number,candidate_seq,match_status,final_status,public_date_status,claimed_contact_date,earliest_provable_public_date,public_date_basis,observed_probability_under_null,claim_normalized
earthquake,150,76,miss,included_in_statistics,public_date_ok,1981-10-10,2009-10-13,wiki_first_revision:Future Of Mankind Contact Report 150 first page revision,0.975507694719,"Approximately on the 15th of August 1982, southern Italy will again be struck by an earthquake, for this part of Italy will not rest for some time."
earthquake,242,1,miss,included_in_statistics,public_date_ok,1992-04-24,2018-08-12,manual_source_link:Future Of Mankind Contact Report 242 English translation page,0.969328687895,"With smaller quakes, however, things will be different, because already on the 8th of May another one of these will occur, which will have to be calculated at a magnitude of about 5.5, if, according to the Richter scale …."
earthquake,369,32,miss,included_in_statistics,public_date_ok,2004-11-12,2020-02-12,manual_source_link:Future Of Mankind Contact Report 369 English translation page,0.993255270861,"Unfortunately, the brute force of the two seaquakes will lead to further quakes, because every seaquake and landquake always causes further quakes worldwide as a chain reaction, especially when such large quakes occur as will be the case in the Indian Ocean on the 26th of December."
earthquake,392,1,near_hit,included_in_statistics,no_public_date_evidence,2005-06-25,,claimed_contact_date_only,0.042395192109,"– On 26th December 2004, the great seaquake and tsunami catastrophe occurred in Indonesia, whereby, as you have clarified, 359,796 humans ultimately lost their lives."
earthquake,394,5,near_hit,included_in_statistics,no_public_date_evidence,2004-07-09,,claimed_contact_date_only,0.035053410059,"On the 23rd of July, an earthquake measuring 6.1 on the Richter scale shook Japan's capital, Tokyo."
earthquake,400,8,similar_only,included_in_statistics,no_public_date_evidence,2005-09-25,,claimed_contact_date_only,0.007123521437,"From this quake in the north of Pakistan, near the Pakistani Muzaffarabad, which is followed shortly after the first by another one with a magnitude of 6.6, but which is then followed by dozens of unusually extremely strong aftershocks, and again a stronger one with a magnitude of 5.6 on 13th October."
earthquake,400,19,similar_only,included_in_statistics,no_public_date_evidence,2005-09-25,,claimed_contact_date_only,0.027015619391,"According to our precise investigations, the coming major earthquake in northern Pakistan, in which more than 50,000 humans lost their lives, is a direct consequence of the seaquake off Sumatra on 26th December 2004."
earthquake,436,5,miss,included_in_statistics,public_date_ok,2006-10-15,2020-05-11,manual_source_link:Future Of Mankind Contact Report 436 English translation page,0.976566576665,"This is indeed the case because we are doing a small study on seaquakes and earthquakes, and they are related to a major seaquake of magnitude 8.1 that will occur on the 15th of November near the Kuril Islands north of Japan."
earthquake,446,9,exact_hit,included_in_statistics,no_public_date_evidence,2007-03-17,,claimed_contact_date_only,0.001600206137,"On the 13th of April, a major earthquake of magnitude 6.3 occurs in the Acapulco region of Mexico, shaking large parts of the country as far as the capital."
earthquake,455,6,exact_hit,included_in_statistics,no_public_date_evidence,2007-10-29,,claimed_contact_date_only,0.047991365871,"Then, on the 14th of November Chile is hit by a 7.8 magnitude quake, causing considerable damage to houses and other buildings."
earthquake,663,15,exact_hit,included_in_statistics,no_public_date_evidence,2016-11-06,,claimed_contact_date_only,0.008692689925,"on the 13th of November in New Zealand, namely in the area of 'Christchurch', with a strength of over 7.7 on the Richter scale."
earthquake,683,14,miss,included_in_statistics,public_date_ok,2017-06-10,2021-01-02,manual_source_link:Future Of Mankind Contact Report 683 English translation page,0.999948340437,"For Switzerland, it was the largest natural disaster to occur in historical times after the Basel earthquake of 1356, which, as I remember Sfath explaining, was to be calculated with a magnitude of 7.1 on the Richter scale and occurred on the 18th of October 1356, whereby the epicentre was near Reinach/Baselland, i.e."
epidemic,441,1,miss,included_in_statistics,public_date_ok,2007-02-03,2008-02-03,wiki_first_revision:Future Of Mankind Contact Report 441 first page revision,0.579264739015,"Firstly, the bird epidemic will be back in the news again, in England, where the disease has already broken out in a turkey farm."
epidemic,757,1,exact_hit,included_in_statistics,public_date_ok,2020-11-15,2020-11-22,wiki_first_revision:Future Of Mankind Contact Report 757 first page revision,0.083381253618,"Yes, this has been happening ever since this clumsy-tramp Trump president has been loud-mouthedly trivialising the Corona rampantly spreading disease, which will soon kill around 500,000 human beings in the USA alone as a result of his imbecility."
