cohort_name,event_family_final,prediction_count,family_counts,match_status_counts,public_date_status_counts,combined_observed_probability
claimed_date_baseline,aviation_space,1,"{""aviation_space"": 1}","{""exact_hit"": 1}","{""event_precedes_publication"": 1}","{""count"": 1, ""ln_sum"": -6.074196, ""log10_sum"": -2.63799}"
claimed_date_baseline,earthquake,52,"{""earthquake"": 52}","{""exact_hit"": 27, ""miss"": 5, ""near_hit"": 14, ""similar_only"": 6}","{""event_precedes_publication"": 37, ""no_public_date_evidence"": 10, ""public_date_ok"": 5}","{""count"": 52, ""ln_sum"": -205.411954, ""log10_sum"": -89.209278}"
claimed_date_baseline,epidemic,23,"{""epidemic"": 23}","{""exact_hit"": 14, ""miss"": 6, ""similar_only"": 3}","{""event_precedes_publication"": 10, ""no_public_date_evidence"": 9, ""public_date_ok"": 4}","{""count"": 23, ""ln_sum"": -43.075632, ""log10_sum"": -18.707509}"
claimed_date_baseline,politics_election,27,"{""politics_election"": 27}","{""exact_hit"": 18, ""miss"": 8, ""similar_only"": 1}","{""event_precedes_publication"": 19, ""no_public_date_evidence"": 1, ""public_date_ok"": 7}","{""count"": 27, ""ln_sum"": -73.172002, ""log10_sum"": -31.778197}"
claimed_date_baseline,storm,7,"{""storm"": 7}","{""exact_hit"": 6, ""miss"": 1}","{""event_precedes_publication"": 6, ""public_date_ok"": 1}","{""count"": 7, ""ln_sum"": -12.040141, ""log10_sum"": -5.228967}"
claimed_date_baseline,volcano,24,"{""volcano"": 24}","{""exact_hit"": 14, ""miss"": 6, ""near_hit"": 4}","{""event_precedes_publication"": 13, ""no_public_date_evidence"": 8, ""public_date_ok"": 3}","{""count"": 24, ""ln_sum"": -59.922307, ""log10_sum"": -26.023927}"
public_date_not_disproven,earthquake,15,"{""earthquake"": 15}","{""exact_hit"": 4, ""miss"": 5, ""near_hit"": 3, ""similar_only"": 3}","{""no_public_date_evidence"": 10, ""public_date_ok"": 5}","{""count"": 15, ""ln_sum"": -46.19178, ""log10_sum"": -20.060835}"
public_date_not_disproven,epidemic,13,"{""epidemic"": 13}","{""exact_hit"": 7, ""miss"": 6}","{""no_public_date_evidence"": 9, ""public_date_ok"": 4}","{""count"": 13, ""ln_sum"": -15.327396, ""log10_sum"": -6.656604}"
public_date_not_disproven,politics_election,8,"{""politics_election"": 8}","{""miss"": 8}","{""no_public_date_evidence"": 1, ""public_date_ok"": 7}","{""count"": 8, ""ln_sum"": 0.0, ""log10_sum"": 0.0}"
public_date_not_disproven,storm,1,"{""storm"": 1}","{""miss"": 1}","{""public_date_ok"": 1}","{""count"": 1, ""ln_sum"": 0.0, ""log10_sum"": 0.0}"
public_date_not_disproven,volcano,11,"{""volcano"": 11}","{""exact_hit"": 5, ""miss"": 6}","{""no_public_date_evidence"": 8, ""public_date_ok"": 3}","{""count"": 11, ""ln_sum"": -31.569404, ""log10_sum"": -13.710418}"
public_date_strict_clean,earthquake,5,"{""earthquake"": 5}","{""miss"": 5}","{""public_date_ok"": 5}","{""count"": 5, ""ln_sum"": -0.08648, ""log10_sum"": -0.037558}"
public_date_strict_clean,epidemic,4,"{""epidemic"": 4}","{""exact_hit"": 1, ""miss"": 3}","{""public_date_ok"": 4}","{""count"": 4, ""ln_sum"": -4.771874, ""log10_sum"": -2.072399}"
public_date_strict_clean,politics_election,7,"{""politics_election"": 7}","{""miss"": 7}","{""public_date_ok"": 7}","{""count"": 7, ""ln_sum"": 0.0, ""log10_sum"": 0.0}"
public_date_strict_clean,storm,1,"{""storm"": 1}","{""miss"": 1}","{""public_date_ok"": 1}","{""count"": 1, ""ln_sum"": 0.0, ""log10_sum"": 0.0}"
public_date_strict_clean,volcano,3,"{""volcano"": 3}","{""miss"": 3}","{""public_date_ok"": 3}","{""count"": 3, ""ln_sum"": -27.631021, ""log10_sum"": -12.0}"
public_date_excluded,aviation_space,1,"{""aviation_space"": 1}","{""exact_hit"": 1}","{""event_precedes_publication"": 1}","{""count"": 1, ""ln_sum"": -6.074196, ""log10_sum"": -2.63799}"
public_date_excluded,earthquake,37,"{""earthquake"": 37}","{""exact_hit"": 23, ""near_hit"": 11, ""similar_only"": 3}","{""event_precedes_publication"": 37}","{""count"": 37, ""ln_sum"": -159.220174, ""log10_sum"": -69.148443}"
public_date_excluded,epidemic,10,"{""epidemic"": 10}","{""exact_hit"": 7, ""similar_only"": 3}","{""event_precedes_publication"": 10}","{""count"": 10, ""ln_sum"": -27.748236, ""log10_sum"": -12.050906}"
public_date_excluded,politics_election,19,"{""politics_election"": 19}","{""exact_hit"": 18, ""similar_only"": 1}","{""event_precedes_publication"": 19}","{""count"": 19, ""ln_sum"": -73.172002, ""log10_sum"": -31.778197}"
public_date_excluded,storm,6,"{""storm"": 6}","{""exact_hit"": 6}","{""event_precedes_publication"": 6}","{""count"": 6, ""ln_sum"": -12.040141, ""log10_sum"": -5.228967}"
public_date_excluded,volcano,13,"{""volcano"": 13}","{""exact_hit"": 9, ""near_hit"": 4}","{""event_precedes_publication"": 13}","{""count"": 13, ""ln_sum"": -28.352903, ""log10_sum"": -12.313509}"
public_date_currently_unrescued,aviation_space,1,"{""aviation_space"": 1}","{""exact_hit"": 1}","{""event_precedes_publication"": 1}","{""count"": 1, ""ln_sum"": -6.074196, ""log10_sum"": -2.63799}"
public_date_currently_unrescued,earthquake,37,"{""earthquake"": 37}","{""exact_hit"": 23, ""near_hit"": 11, ""similar_only"": 3}","{""event_precedes_publication"": 37}","{""count"": 37, ""ln_sum"": -159.220174, ""log10_sum"": -69.148443}"
public_date_currently_unrescued,epidemic,10,"{""epidemic"": 10}","{""exact_hit"": 7, ""similar_only"": 3}","{""event_precedes_publication"": 10}","{""count"": 10, ""ln_sum"": -27.748236, ""log10_sum"": -12.050906}"
public_date_currently_unrescued,politics_election,19,"{""politics_election"": 19}","{""exact_hit"": 18, ""similar_only"": 1}","{""event_precedes_publication"": 19}","{""count"": 19, ""ln_sum"": -73.172002, ""log10_sum"": -31.778197}"
public_date_currently_unrescued,storm,6,"{""storm"": 6}","{""exact_hit"": 6}","{""event_precedes_publication"": 6}","{""count"": 6, ""ln_sum"": -12.040141, ""log10_sum"": -5.228967}"
public_date_currently_unrescued,volcano,13,"{""volcano"": 13}","{""exact_hit"": 9, ""near_hit"": 4}","{""event_precedes_publication"": 13}","{""count"": 13, ""ln_sum"": -28.352903, ""log10_sum"": -12.313509}"
public_date_pending_evidence,earthquake,10,"{""earthquake"": 10}","{""exact_hit"": 4, ""near_hit"": 3, ""similar_only"": 3}","{""no_public_date_evidence"": 10}","{""count"": 10, ""ln_sum"": -46.105299, ""log10_sum"": -20.023277}"
